Genre,MovieAvgRating,TVSeriesAvgRating
Action,5.8031481320213025,7.032260516979221
Adult,5.670833333333333,5.766666666666667
Adventure,6.057605202182485,7.169453207150363
Animation,6.408700533258487,6.97170252572497
Biography,7.06333021515436,7.340509259259259
Comedy,6.025265483572157,6.812937801932394
Crime,6.1162657380123395,7.1333250988142325
Documentary,7.2903706188160795,7.3396687370600135
Drama,6.378151234440128,7.072524060850701
Family,6.321722228766629,6.885594609360771
Fantasy,6.010521251002394,7.06849680170576
Film-Noir,6.660026560424968,
Game-Show,5.7,5.869195111672997
History,6.913435932906797,7.448219735503558
Horror,5.1558147284238585,6.982846371347782
Music,6.83230468750001,6.606799007444182
Musical,6.309571080726734,6.633740831295843
Mystery,6.04545224220925,7.255427372836924
News,7.2794212218649506,6.250325732899019
Reality-TV,6.3769230769230765,6.1584658126254
Romance,6.230287951708981,6.795751062234449
Sci-Fi,5.378747940691925,7.0346563981042705
Short,6.233333333333333,7.013621794871797
Sport,6.657061457061461,7.132552870090643
Talk-Show,7.3,6.20006832934746
Thriller,5.715876522231666,7.095272727272724
War,6.570949608512343,7.494137353433842
Western,6.026719768283863,7.642971887550196
