PersonName,TVSeriesAvgRating,MovieAvgRating
Grant Harling,7.9,9.8
Gunnar Hansson,8.0,9.7
Magnús Scheving,7.3,9.7
Michael Smith,8.6,9.7
Sigurður Sigurjónsson,7.4,9.7
Steinn Ármann Magnússon,8.1,9.7
Gustavo Goulart,9.3,9.6
Ian Cranston,8.0,9.6
Tom Sizemore,7.5,9.6
German Moreno,6.1,9.5
Jim Norton,8.2,9.5
Alex Cox,6.3,9.4
Amitabh Reza Chowdhury,7.6,9.4
Barry Sonnenfeld,8.4,9.4
Celso Ad. Castillo,7.7,9.4
Craig Curtis,8.2,9.4
Dado Jehan,9.0,9.4
Dennis Weaver,8.0,9.4
Eric G. Johnson,6.2,9.4
Gbenga Akinnagbe,6.7,9.4
Guillermo Fesser,6.7,9.4
Ivan Pavlicic,7.4,9.4
JB Blanc,6.3,9.4
Jackson Rathbone,5.2,9.4
Joel Torre,8.7,9.4
