PersonName,TVSeriesAvgRating,MovieAvgRating
Ryan Perez,10.0,5.6
Gary Anthony Williams,9.9,8.4
Timothy Paul Taylor,9.9,8.6
John Michael Howson,9.8,4.5
Peter Arrhenius,9.8,5.3
Rob Paulsen,9.8,7.6
Silvije Petranovic,9.8,7.8
Esteban Navarro,9.7,5.9
Goran Markovic,9.7,8.5
James Arnold Taylor,9.7,9.0
Kosta Djordjevic,9.7,6.4
Namal Jayasinghe,9.7,7.9
Scotty Ray,9.7,6.9
Xavi Daura,9.7,7.4
Charlie Bleakley,9.6,6.4
Fritz Umgelter,9.6,7.7
Helmut Krätzig,9.6,5.6
James Pratt,9.6,9.2
Louis Sutherland,9.6,6.7
Luis Barrios,9.6,6.3
Reinhard Hauff,9.6,8.2
Ron Sparks,9.6,7.5
Adrian Spies,9.5,6.9
Alan Fletcher,9.5,6.7
Brent Lydic,9.5,2.9
